Dataset_Name,diffusion_ver,Adaptor,lora_rank,clipi,clipt,num_train_steps,no_of_images,learning_rate,output_path,with_prior_preservation
cat,sdxl,lora,8,0.86328125,0.3147604054418103,400,5,0.0001,/home/btech/ayush.singh/outputs_sdxl/cat/lora_sdxl_8_0.0001_400_False,False
cat,sdxl,krona,8,0.79931640625,0.3271736934267241,400,5,0.0001,/home/btech/ayush.singh/outputs_sdxl/cat/krona_sdxl_8_0.0001_400_False,False
dog6,sdxl,krona,8,0.75341796875,0.3066802153716216,400,5,0.0001,/home/btech/ayush.singh/outputs_sdxl/dog6/krona_sdxl_8_0.0001_400_False,False
dog2,sdxl,krona,8,0.73193359375,0.3099539620535714,400,6,0.0001,/home/btech/ayush.singh/outputs_sdxl/dog2/krona_sdxl_8_0.0001_400_False,False
dog6,sdxl,lora,8,0.83154296875,0.2863505595439189,400,5,0.0001,/home/btech/ayush.singh/outputs_sdxl/dog6/lora_sdxl_8_0.0001_400_False,False
clock,sdxl,lora,8,0.7548828125,0.2957763671875,400,6,0.0001,/home/btech/ayush.singh/outputs_sdxl/clock/lora_sdxl_8_0.0001_400_False,False
backpack,sdxl,lora,8,0.83056640625,0.3228549299568966,400,6,0.0001,/home/btech/ayush.singh/outputs_sdxl/backpack/lora_sdxl_8_0.0001_400_False,False
teapot,sdxl,krona,8,0.78955078125,0.3396525065104167,800,5,0.0001,/home/btech/ayush.singh/outputs_sdxl/teapot/krona_sdxl_8_0.0001_800_False,False
cat,sdxl,lora,8,0.8779296875,0.3096923828125,800,5,0.0001,/home/btech/ayush.singh/outputs_sdxl/cat/lora_sdxl_8_0.0001_800_False,False
cat,sdxl,krona,8,0.830078125,0.3235031654094827,800,5,0.0001,/home/btech/ayush.singh/outputs_sdxl/cat/krona_sdxl_8_0.0001_800_False,False
backpack,sdxl,krona,8,0.81640625,0.3292446794181034,800,6,0.0001,/home/btech/ayush.singh/outputs_sdxl/backpack/krona_sdxl_8_0.0001_800_False,False
clock,sdxl,krona,8,0.76513671875,0.3035060337611607,800,6,0.0001,/home/btech/ayush.singh/outputs_sdxl/clock/krona_sdxl_8_0.0001_800_False,False
dog6,sdxl,krona,8,0.796875,0.3004414326435811,800,5,0.0001,/home/btech/ayush.singh/outputs_sdxl/dog6/krona_sdxl_8_0.0001_800_False,False
cat,sdxl,lora,8,0.861328125,0.3161957839439655,400,5,0.0001,/home/btech/ayush.singh/outputs_sdxl/cat/lora_sdxl_8_0.0001_400_False,False
cat,sdxl,krona,8,0.79833984375,0.3276114628232758,400,5,0.0001,/home/btech/ayush.singh/outputs_sdxl/cat/krona_sdxl_8_0.0001_400_False,False
dog6,sdxl,krona,8,0.75244140625,0.3058422191722973,400,5,0.0001,/home/btech/ayush.singh/outputs_sdxl/dog6/krona_sdxl_8_0.0001_400_False,False
dog2,sdxl,krona,8,0.732421875,0.3094656808035714,400,6,0.0001,/home/btech/ayush.singh/outputs_sdxl/dog2/krona_sdxl_8_0.0001_400_False,False
backpack,sdxl,lora,8,0.8408203125,0.3242608432112069,400,6,0.0001,/home/btech/ayush.singh/outputs_sdxl/backpack/lora_sdxl_8_0.0001_400_False,False
teapot,sdxl,krona,8,0.78759765625,0.3388834635416666,800,5,0.0001,/home/btech/ayush.singh/outputs_sdxl/teapot/krona_sdxl_8_0.0001_800_False,False
clock,sdxl,lora,8,0.77197265625,0.3014264787946428,400,6,0.0001,/home/btech/ayush.singh/outputs_sdxl/clock/lora_sdxl_8_0.0001_400_False,False
cat,sdxl,lora,8,0.86962890625,0.3090483566810345,800,5,0.0001,/home/btech/ayush.singh/outputs_sdxl/cat/lora_sdxl_8_0.0001_800_False,False
cat,sdxl,krona,8,0.83056640625,0.3229306977370689,800,5,0.0001,/home/btech/ayush.singh/outputs_sdxl/cat/krona_sdxl_8_0.0001_800_False,False
backpack,sdxl,krona,8,0.81640625,0.3293625404094827,800,6,0.0001,/home/btech/ayush.singh/outputs_sdxl/backpack/krona_sdxl_8_0.0001_800_False,False
clock,sdxl,krona,8,0.7626953125,0.3040640694754464,800,6,0.0001,/home/btech/ayush.singh/outputs_sdxl/clock/krona_sdxl_8_0.0001_800_False,False
dog6,sdxl,krona,8,0.79736328125,0.2998871674408784,800,5,0.0001,/home/btech/ayush.singh/outputs_sdxl/dog6/krona_sdxl_8_0.0001_800_False,False
dog2,sdxl,lora,8,0.8173828125,0.2844168526785714,800,6,0.0001,/home/btech/ayush.singh/outputs_sdxl/dog2/lora_sdxl_8_0.0001_800_False,False
dog2,sdxl,krona,8,0.77001953125,0.3055036272321428,800,6,0.0001,/home/btech/ayush.singh/outputs_sdxl/dog2/krona_sdxl_8_0.0001_800_False,False
teapot,sdxl,krona,8,0.7919921875,0.33701171875,1000,5,0.0001,/home/btech/ayush.singh/outputs_sdxl/teapot/krona_sdxl_8_0.0001_1000_False,False
cat,sdxl,lora,8,0.8701171875,0.3122137661637931,1000,5,0.0001,/home/btech/ayush.singh/outputs_sdxl/cat/lora_sdxl_8_0.0001_1000_False,False
cat,sdxl,krona,8,0.8349609375,0.3219372979525862,1000,5,0.0001,/home/btech/ayush.singh/outputs_sdxl/cat/krona_sdxl_8_0.0001_1000_False,False
dog6,sdxl,krona,8,0.8056640625,0.2996430268158784,1000,5,0.0001,/home/btech/ayush.singh/outputs_sdxl/dog6/krona_sdxl_8_0.0001_1000_False,False
dog6,base,lora,8,0.798828125,0.2848857157939189,400,5,0.0001,/home/btech/ayush.singh/outputs_base/dog6/lora_base_8_0.0001_400_False,False
teapot,base,lora,8,0.783203125,0.321240234375,400,5,0.0001,/home/btech/ayush.singh/outputs_base/teapot/lora_base_8_0.0001_400_False,False
backpack,sdxl,krona,8,0.8271484375,0.3280997440732758,1000,6,0.0001,/home/btech/ayush.singh/outputs_sdxl/backpack/krona_sdxl_8_0.0001_1000_False,False
clock,sdxl,krona,8,0.771484375,0.3010123116629464,1000,6,0.0001,/home/btech/ayush.singh/outputs_sdxl/clock/krona_sdxl_8_0.0001_1000_False,False
dog2,sdxl,lora,8,0.82763671875,0.2825997488839286,1000,6,0.0001,/home/btech/ayush.singh/outputs_sdxl/dog2/lora_sdxl_8_0.0001_1000_False,False
dog2,sdxl,krona,8,0.7744140625,0.3028843470982142,1000,6,0.0001,/home/btech/ayush.singh/outputs_sdxl/dog2/krona_sdxl_8_0.0001_1000_False,False
clock,base,lora,8,0.77978515625,0.3046003069196428,400,6,0.0001,/home/btech/ayush.singh/outputs_base/clock/lora_base_8_0.0001_400_False,False
backpack,sdxl,lora,8,0.8525390625,0.3145709859913793,800,6,0.0001,/home/btech/ayush.singh/outputs_sdxl/backpack/lora_sdxl_8_0.0001_800_False,False
clock,sdxl,lora,8,0.76611328125,0.3000270298549107,800,6,0.0001,/home/btech/ayush.singh/outputs_sdxl/clock/lora_sdxl_8_0.0001_800_False,False
teapot,sdxl,krona,8,0.806640625,0.333935546875,1200,5,0.0001,/home/btech/ayush.singh/outputs_sdxl/teapot/krona_sdxl_8_0.0001_1200_False,False
cat,sdxl,lora,8,0.88330078125,0.3061102505387931,1200,5,0.0001,/home/btech/ayush.singh/outputs_sdxl/cat/lora_sdxl_8_0.0001_1200_False,False
cat,sdxl,krona,8,0.841796875,0.3209691540948275,1200,5,0.0001,/home/btech/ayush.singh/outputs_sdxl/cat/krona_sdxl_8_0.0001_1200_False,False
dog6,sdxl,krona,8,0.818359375,0.2962976404138513,1200,5,0.0001,/home/btech/ayush.singh/outputs_sdxl/dog6/krona_sdxl_8_0.0001_1200_False,False
backpack,sdxl,krona,8,0.8173828125,0.3253384294181034,1200,6,0.0001,/home/btech/ayush.singh/outputs_sdxl/backpack/krona_sdxl_8_0.0001_1200_False,False
teapot,sdxl,krona,8,0.76025390625,0.351806640625,400,5,5e-06,/home/btech/ayush.singh/outputs_sdxl/teapot/krona_sdxl_8_5e-06_400_False,False
clock,sdxl,krona,8,0.771484375,0.300048828125,1200,6,0.0001,/home/btech/ayush.singh/outputs_sdxl/clock/krona_sdxl_8_0.0001_1200_False,False
dog2,sdxl,lora,8,0.82568359375,0.2862130301339285,1200,6,0.0001,/home/btech/ayush.singh/outputs_sdxl/dog2/lora_sdxl_8_0.0001_1200_False,False
dog2,sdxl,krona,8,0.7841796875,0.3009451729910714,1200,6,0.0001,/home/btech/ayush.singh/outputs_sdxl/dog2/krona_sdxl_8_0.0001_1200_False,False
dog6,sdxl,krona,8,0.72802734375,0.3049118454391892,400,5,5e-06,/home/btech/ayush.singh/outputs_sdxl/dog6/krona_sdxl_8_5e-06_400_False,False
backpack,sdxl,krona,8,0.7607421875,0.3327131600215517,400,6,5e-06,/home/btech/ayush.singh/outputs_sdxl/backpack/krona_sdxl_8_5e-06_400_False,False
clock,sdxl,krona,8,0.72998046875,0.3264857700892857,400,6,5e-06,/home/btech/ayush.singh/outputs_sdxl/clock/krona_sdxl_8_5e-06_400_False,False
dog2,sdxl,lora,8,0.712890625,0.3107491629464285,400,6,5e-06,/home/btech/ayush.singh/outputs_sdxl/dog2/lora_sdxl_8_5e-06_400_False,False
cat,sdxl,lora,8,0.79833984375,0.3266685748922414,800,5,5e-06,/home/btech/ayush.singh/outputs_sdxl/cat/lora_sdxl_8_5e-06_800_False,False
cat,sdxl,krona,8,0.76708984375,0.3321154364224138,800,5,5e-06,/home/btech/ayush.singh/outputs_sdxl/cat/krona_sdxl_8_5e-06_800_False,False
teapot,sdxl,krona,8,0.7587890625,0.3481119791666666,800,5,5e-06,/home/btech/ayush.singh/outputs_sdxl/teapot/krona_sdxl_8_5e-06_800_False,False
dog2,sdxl,krona,8,0.71728515625,0.3109723772321429,400,6,5e-06,/home/btech/ayush.singh/outputs_sdxl/dog2/krona_sdxl_8_5e-06_400_False,False
dog6,sdxl,krona,8,0.72802734375,0.3056145745354729,800,5,5e-06,/home/btech/ayush.singh/outputs_sdxl/dog6/krona_sdxl_8_5e-06_800_False,False
backpack,sdxl,krona,8,0.7607421875,0.3321743669181034,800,6,5e-06,/home/btech/ayush.singh/outputs_sdxl/backpack/krona_sdxl_8_5e-06_800_False,False
clock,sdxl,krona,8,0.7236328125,0.3234776088169643,800,6,5e-06,/home/btech/ayush.singh/outputs_sdxl/clock/krona_sdxl_8_5e-06_800_False,False
dog2,sdxl,lora,8,0.732421875,0.3086809430803571,800,6,5e-06,/home/btech/ayush.singh/outputs_sdxl/dog2/lora_sdxl_8_5e-06_800_False,False
cat,sdxl,lora,8,0.8037109375,0.3269884832974138,1000,5,5e-06,/home/btech/ayush.singh/outputs_sdxl/cat/lora_sdxl_8_5e-06_1000_False,False
cat,sdxl,krona,8,0.7744140625,0.3317450161637931,1000,5,5e-06,/home/btech/ayush.singh/outputs_sdxl/cat/krona_sdxl_8_5e-06_1000_False,False
dog2,sdxl,krona,8,0.7158203125,0.3113699776785714,800,6,5e-06,/home/btech/ayush.singh/outputs_sdxl/dog2/krona_sdxl_8_5e-06_800_False,False
teapot,sdxl,krona,8,0.76171875,0.347900390625,1000,5,5e-06,/home/btech/ayush.singh/outputs_sdxl/teapot/krona_sdxl_8_5e-06_1000_False,False
backpack,sdxl,lora,8,0.85693359375,0.3157075026939655,1000,6,0.0001,/home/btech/ayush.singh/outputs_sdxl/backpack/lora_sdxl_8_0.0001_1000_False,False
clock,sdxl,lora,8,0.74560546875,0.3024989536830357,1000,6,0.0001,/home/btech/ayush.singh/outputs_sdxl/clock/lora_sdxl_8_0.0001_1000_False,False
dog6,sdxl,krona,8,0.72900390625,0.3067659945101351,1000,5,5e-06,/home/btech/ayush.singh/outputs_sdxl/dog6/krona_sdxl_8_5e-06_1000_False,False
backpack,sdxl,krona,8,0.75830078125,0.3313577586206896,1000,6,5e-06,/home/btech/ayush.singh/outputs_sdxl/backpack/krona_sdxl_8_5e-06_1000_False,False
clock,sdxl,krona,8,0.71044921875,0.3199201311383928,1000,6,5e-06,/home/btech/ayush.singh/outputs_sdxl/clock/krona_sdxl_8_5e-06_1000_False,False
dog2,sdxl,lora,8,0.74169921875,0.3079659598214285,1000,6,5e-06,/home/btech/ayush.singh/outputs_sdxl/dog2/lora_sdxl_8_5e-06_1000_False,False
cat,sdxl,lora,8,0.81005859375,0.326416015625,1200,5,5e-06,/home/btech/ayush.singh/outputs_sdxl/cat/lora_sdxl_8_5e-06_1200_False,False
cat,sdxl,krona,8,0.7744140625,0.3314840382543103,1200,5,5e-06,/home/btech/ayush.singh/outputs_sdxl/cat/krona_sdxl_8_5e-06_1200_False,False
teapot,sdxl,krona,8,0.76171875,0.3479573567708333,1200,5,5e-06,/home/btech/ayush.singh/outputs_sdxl/teapot/krona_sdxl_8_5e-06_1200_False,False
dog2,sdxl,krona,8,0.71630859375,0.3131277901785714,1000,6,5e-06,/home/btech/ayush.singh/outputs_sdxl/dog2/krona_sdxl_8_5e-06_1000_False,False
dog6,base,lora,8,0.81591796875,0.2826587573902027,800,5,0.0001,/home/btech/ayush.singh/outputs_base/dog6/lora_base_8_0.0001_800_False,False
teapot,base,lora,8,0.80419921875,0.3162109375,800,5,0.0001,/home/btech/ayush.singh/outputs_base/teapot/lora_base_8_0.0001_800_False,False
dog6,sdxl,krona,8,0.7294921875,0.3068220808699324,1200,5,5e-06,/home/btech/ayush.singh/outputs_sdxl/dog6/krona_sdxl_8_5e-06_1200_False,False
cat,sdxl,lora,8,0.77880859375,0.3283102101293103,400,5,2e-06,/home/btech/ayush.singh/outputs_sdxl/cat/lora_sdxl_8_2e-06_400_False,False
cat,sdxl,krona,8,0.767578125,0.331433526400862,400,5,2e-06,/home/btech/ayush.singh/outputs_sdxl/cat/krona_sdxl_8_2e-06_400_False,False
teapot,sdxl,krona,8,0.7626953125,0.3505777994791667,400,5,2e-06,/home/btech/ayush.singh/outputs_sdxl/teapot/krona_sdxl_8_2e-06_400_False,False
dog6,sdxl,krona,8,0.72509765625,0.3052549619932432,400,5,2e-06,/home/btech/ayush.singh/outputs_sdxl/dog6/krona_sdxl_8_2e-06_400_False,False
backpack,sdxl,krona,8,0.75537109375,0.3365268049568966,1200,6,5e-06,/home/btech/ayush.singh/outputs_sdxl/backpack/krona_sdxl_8_5e-06_1200_False,False
clock,sdxl,krona,8,0.71826171875,0.3227321079799107,1200,6,5e-06,/home/btech/ayush.singh/outputs_sdxl/clock/krona_sdxl_8_5e-06_1200_False,False
cat,sdxl,lora,8,0.783203125,0.328747979525862,800,5,2e-06,/home/btech/ayush.singh/outputs_sdxl/cat/lora_sdxl_8_2e-06_800_False,False
cat,sdxl,krona,8,0.76611328125,0.3302970096982758,800,5,2e-06,/home/btech/ayush.singh/outputs_sdxl/cat/krona_sdxl_8_2e-06_800_False,False
dog2,sdxl,lora,8,0.7470703125,0.3067696707589286,1200,6,5e-06,/home/btech/ayush.singh/outputs_sdxl/dog2/lora_sdxl_8_5e-06_1200_False,False
teapot,sdxl,krona,8,0.76025390625,0.3505533854166666,800,5,2e-06,/home/btech/ayush.singh/outputs_sdxl/teapot/krona_sdxl_8_2e-06_800_False,False
dog2,sdxl,krona,8,0.71435546875,0.3133719308035714,1200,6,5e-06,/home/btech/ayush.singh/outputs_sdxl/dog2/krona_sdxl_8_5e-06_1200_False,False
backpack,sdxl,krona,8,0.7568359375,0.3346326104525862,400,6,2e-06,/home/btech/ayush.singh/outputs_sdxl/backpack/krona_sdxl_8_2e-06_400_False,False
clock,sdxl,krona,8,0.73095703125,0.3243756975446428,400,6,2e-06,/home/btech/ayush.singh/outputs_sdxl/clock/krona_sdxl_8_2e-06_400_False,False
clock,base,lora,8,0.80908203125,0.2988542829241071,800,6,0.0001,/home/btech/ayush.singh/outputs_base/clock/lora_base_8_0.0001_800_False,False
dog6,sdxl,krona,8,0.7265625,0.30615234375,800,5,2e-06,/home/btech/ayush.singh/outputs_sdxl/dog6/krona_sdxl_8_2e-06_800_False,False
dog2,sdxl,lora,8,0.70751953125,0.3096470424107143,400,6,2e-06,/home/btech/ayush.singh/outputs_sdxl/dog2/lora_sdxl_8_2e-06_400_False,False
dog2,sdxl,krona,8,0.7177734375,0.3102260044642857,400,6,2e-06,/home/btech/ayush.singh/outputs_sdxl/dog2/krona_sdxl_8_2e-06_400_False,False
clock,sdxl,lora,8,0.75244140625,0.2973502022879464,1200,6,0.0001,/home/btech/ayush.singh/outputs_sdxl/clock/lora_sdxl_8_0.0001_1200_False,False
backpack,sdxl,lora,8,0.85009765625,0.3108204808728448,1200,6,0.0001,/home/btech/ayush.singh/outputs_sdxl/backpack/lora_sdxl_8_0.0001_1200_False,False
cat,sdxl,lora,8,0.78759765625,0.3280913254310345,1000,5,2e-06,/home/btech/ayush.singh/outputs_sdxl/cat/lora_sdxl_8_2e-06_1000_False,False
cat,sdxl,krona,8,0.76611328125,0.3313156654094827,1000,5,2e-06,/home/btech/ayush.singh/outputs_sdxl/cat/krona_sdxl_8_2e-06_1000_False,False
